gameid,playerid,rounds
2332,573,53
1114,573,66
600,573,122
1506,573,63
2117,573,42
1555,573,28
1713,573,19
686,573,10
1985,573,93
2269,573,14
1043,573,130
2881,573,611
883,573,29
2547,573,34
2318,573,96
1886,574,78
465,575,41
981,575,115
508,576,802
164,576,28
1886,576,107
1158,577,37
711,577,9
1712,577,16
1934,577,51
93,577,58
2970,577,54
1183,577,50
1358,577,26
822,577,387
2734,577,60
1941,577,260
835,577,17
443,577,89
1411,577,76
258,577,57
2885,577,43
814,577,132
1886,578,50
1657,579,6
986,580,10
1016,581,20
327,582,64
1889,582,61
2676,582,715
1149,583,12
656,583,3
1657,584,2
845,585,188
1713,585,383
1886,586,77
959,587,888
2202,588,52
1985,588,18
112,588,449
508,588,156
1411,588,48
1657,588,5
1657,589,1
164,589,71
1958,590,25
1657,590,18
981,591,170
773,591,1401
1480,591,83
2090,591,68
16,592,1133
1886,592,466
1001,592,11
363,592,177
191,592,135
30,592,12
515,592,2
46,592,119
2881,592,23
526,592,2
19,593,39
1657,594,2
16,595,879
508,595,1001
986,595,176
16,596,11
1198,596,44
467,596,44
926,596,26
1186,596,10
191,596,16
1590,596,113
406,596,47
1886,596,5
2090,596,13
162,596,28
2670,597,75
30,598,263
249,598,87
2670,599,384
1985,599,2112
367,599,1591
2323,599,41
1449,600,4
12,601,1
2001,602,511
485,603,5
1657,603,6
1985,603,7
363,604,1395
1886,604,25
1411,605,16
1431,606,70
1017,607,162
406,607,3727
2308,608,183
620,609,1
1411,610,1254
2547,610,298
986,611,2545
1657,612,44
1985,613,23
1257,613,136
1223,613,118
1657,613,5
1494,613,372
508,614,30
845,614,44
1657,615,180
1713,616,7
819,617,27
1657,618,4
821,619,69
508,619,1
2665,620,414
950,620,16
12,620,1
946,620,57
1485,621,18
1364,622,90
467,623,146
1886,623,396
508,624,296
1411,625,3
1985,626,66
1017,626,1325
1657,627,4
1657,628,0
30,629,335
1356,629,385
1356,630,8
939,631,65
164,631,92
1985,631,20
1257,632,978
797,632,506
452,632,691
1356,632,300
1485,632,51
2090,633,30
758,633,64
162,633,4772
2663,633,238
2554,633,8
2238,634,110
443,634,2
1657,635,4
1017,635,331
2885,635,617
1657,636,11
1657,637,1
845,638,2
164,638,70
2146,638,27
330,638,224
1657,639,16
845,640,17
508,640,22
1606,641,5
1495,641,26
12,641,65
406,641,23
2881,641,102
868,641,164
1129,641,13
1150,641,3
226,641,18
11,641,6
819,641,21
979,641,14
1985,642,1
508,642,2
819,643,27
1886,644,4267
2734,644,218
508,644,169
2241,644,325
2885,644,95
1411,645,7
2522,645,1
1657,645,0
191,646,7
1657,646,28
819,647,17
1657,647,3
628,647,11
2671,648,20
191,648,321
30,648,64
98,649,477
1713,650,363
46,650,144
406,651,186
191,652,279
443,653,11
1500,654,1
2238,654,157
1356,655,177
1712,656,103
819,657,3
1449,658,1
508,658,22
272,658,7
1119,658,8
164,658,9
1886,659,14
1525,660,461
825,660,2066
2557,661,367
1713,662,676
981,663,27
818,663,160
406,663,47
2665,663,33
1257,663,67
2881,663,35
1657,664,11
2148,664,67
939,665,225
845,666,11
819,666,3
1525,667,104
1129,668,99
1713,668,43
1257,668,57
981,668,13
1606,668,181
819,668,10
1657,668,13
1492,668,103
1277,668,3
12,668,49
1449,668,7
1934,668,28
845,668,228
1886,669,56
724,670,427
1431,670,209
2238,671,136
2220,671,83
2676,671,5
249,671,249
2681,671,85
2257,671,69
681,671,235
2109,671,59
408,671,60
162,671,40
2229,671,83
339,671,92
508,672,184
164,672,42
1934,672,20
367,672,10
1411,672,14
819,673,7
1657,674,59
1953,675,88
12,676,4
164,677,135
1985,678,215
443,678,113
822,678,12
1183,678,391
1713,678,69
1889,678,222
1502,678,130
2670,678,60
2323,678,121
191,678,287
2678,678,43
910,678,77
1886,678,155
2238,678,19
2148,678,63
428,678,17
1934,678,95
883,678,73
2669,678,47
508,678,43
2958,678,8
821,678,45
16,678,25
1358,678,72
320,678,10
1449,679,13
508,680,13
14,681,10
820,681,5
435,681,1
1657,681,4
967,681,1
2213,682,173
2299,682,9
819,683,8
686,683,19
1434,684,51
735,684,129
1886,684,126
162,684,158
2090,684,37
741,684,70
1943,685,7
1485,685,586
1485,686,33
330,686,74
2669,687,169
1562,688,27
1449,688,35
1485,688,594
1886,689,20
104,689,1
1657,690,78
1607,691,113
2554,692,8
1886,692,663
46,692,439
2885,692,6
508,692,21
2678,692,78
986,692,23
1482,692,119
305,692,1045
2881,692,583
1494,693,4
78,694,260
819,694,18
1657,694,29
1657,695,3
825,696,5
1657,696,33
1886,697,591
1657,698,5
1482,699,332
600,699,42
2678,700,56
508,700,492
2669,700,159
2249,700,40
508,701,538
1884,702,15
822,702,536
363,702,39
1358,702,1594
1886,702,1518
1657,703,6
162,704,100
819,704,2
1485,705,1
1657,706,20
959,707,627
126,707,10
1388,707,130
883,707,12
1364,707,10
16,708,167
955,708,60
1485,709,96
819,710,3
686,711,382
939,711,960
1311,711,392
1886,711,232
2672,711,53
693,712,448
959,712,43
305,713,247
456,714,1
1985,714,28
576,714,17
1587,714,65
1934,714,2155
2554,714,2533
2672,714,47
1485,715,7
1017,716,479
1657,717,6
305,718,34
1713,719,13
1985,719,27
408,719,40
1485,719,14
1886,719,458
1657,720,81
1886,721,3
1276,721,36
2001,721,38
1934,721,22
2970,721,520
1985,721,1401
1657,722,8
1985,722,1
1331,723,151
1886,724,5696
1657,725,7
508,726,94
1657,727,127
1485,728,35
162,729,174
1257,729,59
758,729,3
981,729,28
649,729,41
1485,729,912
1657,729,299
1963,729,8
320,730,65
248,730,206
93,730,236
1886,731,196
406,731,34
2881,731,307
1657,731,70
1985,731,15
508,731,130
2678,731,50
165,732,269
246,732,441
16,733,51
1886,734,393
508,734,57
1195,735,433
811,736,263
1657,737,22
469,737,1509
1129,738,3
78,738,8
1657,738,4
12,738,15
2681,738,98
2238,738,1
1657,739,16
819,739,45
16,740,2
162,740,557
1364,741,153
1889,741,86
305,741,149
1985,741,61
666,741,104
2277,741,40
2669,741,10
1358,741,10
2734,741,16
799,741,21
164,741,32
1026,741,34
2308,741,38
1713,742,607
1546,742,132
98,743,14
1149,744,31
1636,744,28
1657,745,15
520,746,17
164,746,67
1485,747,5
1444,748,1
2970,749,33
162,749,46
1657,750,32
162,750,32
1587,751,6246
1657,752,42
1657,753,1
2238,754,38
1211,754,3664
1886,755,259
2678,755,131
1657,756,1
508,757,4630
1411,758,168
1590,758,11
162,759,2
1555,760,5
1249,761,55
1985,761,939
986,761,28
1886,761,87
305,761,313
2258,761,16
2213,761,131
46,761,41
2325,761,108
2241,761,82
1494,761,51
2554,761,111
2332,761,2
2678,761,10340
634,761,71
1482,761,476
627,761,15
2334,761,7
686,761,47
986,762,427
1257,762,62
1181,763,82
715,763,136
1657,764,2
41,765,584
1713,765,608
1050,765,1008
1953,765,172
1657,766,4
456,767,143
1985,767,49
1657,768,2
1449,768,11
164,769,44
981,770,324
1657,770,3
819,771,25
1657,772,70
465,773,6
456,774,11
1562,775,13
1414,776,13
508,776,7
1886,776,14
825,776,42
1657,777,3
813,778,28
1482,778,38
428,778,60
2314,778,50
2323,778,26
1183,778,34
1358,778,179
406,778,79
1886,779,168
162,780,96
1966,780,39
520,781,798
467,782,170
620,783,6766
1492,784,15
520,784,629
272,784,7
711,784,13
2210,785,436
1657,786,18
724,787,339
981,788,202
2547,788,18
41,790,14
1500,791,123
666,791,38
1364,791,98
1673,791,98
1657,791,7
2958,791,11
808,791,24
408,791,21
825,791,3
1119,792,43
2668,792,4
1562,792,5
1319,793,10
508,793,386
51,793,25
2970,793,171
64,793,9
1657,793,7
1428,793,18
706,793,88
2202,793,71
1985,793,931
2557,793,157
819,794,21
1091,795,3
520,795,16
2970,795,17
1713,795,83
1331,795,40
2323,795,1
825,795,48
243,795,26
2213,795,24
1371,796,1
1282,797,45
12,797,6
819,797,4
406,797,123
628,797,181
1480,797,369
1485,797,300
1043,798,43
2678,798,98
724,798,331
195,798,15
628,798,273
461,798,49
1956,798,28
822,798,203
1358,798,1118
1985,798,52
1026,798,123
332,798,48
715,798,49
363,798,46
1666,799,1
2885,799,30
30,800,55
2256,800,294
2120,800,127
2117,800,46
2219,800,108
115,800,44
198,800,13
1311,800,76
2112,800,30
643,800,115
315,800,49
2884,800,167
353,800,34
2661,800,39
426,800,116
628,800,95
820,801,27
1657,802,1
666,803,194
628,803,43
41,803,162
12,804,35
819,804,35
1657,804,4
868,804,4
508,805,355
164,805,83
1657,806,1
363,807,697
1985,807,20
508,807,13
868,808,21
819,808,35
16,809,2757
845,810,27
165,811,3
1657,811,2
1657,812,2
1485,813,492
2085,813,5
2476,813,11
786,813,4
1886,814,191
2314,815,15
819,815,137
1886,815,1096
939,816,4
1249,817,56
264,818,1
1388,818,258
790,818,111
526,818,1706
1296,818,1
1408,818,75
1001,818,78
1883,818,2
320,819,16
697,819,102
414,819,103
1657,819,2
959,819,9
598,819,18
1489,819,47
1479,819,12
1666,819,45
248,819,7
2323,819,1
401,819,74
825,819,18
858,819,155
625,819,25
1594,819,102
891,819,14
1465,819,185
1416,819,18
711,819,60
600,819,75
1621,819,2
307,819,11
1568,819,82
2970,819,114
367,819,9
1956,819,19
2554,819,4
1985,819,10
1485,819,16
1308,819,26
1341,819,21
1091,819,97
456,820,12
1657,821,3
1480,822,103
2479,823,12
1657,823,11
456,823,48
2670,824,47
1657,825,10
1257,826,12
401,827,30
1934,828,5
456,829,46
1600,830,33
331,830,62
1502,830,110
2881,831,49
11,831,1460
1886,831,179
508,831,291
2670,831,130
2001,832,11
657,832,542
2323,832,11
457,832,11
1673,833,15
1050,833,23
461,833,13
656,833,5
384,833,14
41,833,17
1628,833,10
1494,833,35
156,833,18
456,833,26
1186,833,33
1347,833,22
1886,834,38
1364,834,28
959,834,3
508,835,17
1657,836,4
1562,836,2
1449,837,964
191,838,55
16,838,87
504,838,41
1886,838,753
508,838,318
363,838,49
467,838,119
1688,838,12
1943,838,168
1657,839,1
819,840,22
881,841,6
1485,841,16
508,841,46
1886,842,128
1591,843,3
521,843,2
1257,843,10
435,843,7
715,843,79
467,843,76
2520,843,0
649,843,32
1657,843,25
14,843,15
1886,843,54
2479,843,4
1411,843,31
819,843,5
820,843,7
1562,843,6
2484,843,15
508,843,28
1449,843,1
1985,844,29
999,844,3
2734,844,11
2670,844,9
320,844,5
2108,844,5
845,845,2160
30,846,225
508,847,2
162,848,30
1657,849,22
1657,850,4
12,850,2
2148,851,8
2238,851,10
981,851,33
1495,851,100
1017,852,37
939,852,46
886,853,46
298,853,8
2493,854,4
964,854,3
1411,855,580
330,856,53
2148,856,180
1257,856,10
1485,856,10
715,856,140
249,856,3
190,856,15
1657,857,5
1485,857,21
1364,858,29
1257,858,52
1881,858,67
508,858,150
939,858,137
406,858,26
2323,858,51
1657,859,6
457,860,1909
2323,860,2
162,860,10
657,860,256
1017,861,53
98,861,102
1966,861,48
508,861,75
1886,861,25
1149,861,56
2090,861,83
1713,861,27
520,861,317
711,861,129
164,861,431
1492,861,375
845,861,276
508,862,411
164,863,241
845,864,120
1713,865,669
819,866,57
555,867,200
508,867,2755
1026,867,8
2664,867,15094
1037,867,10
1485,868,236
164,868,1
2670,869,417
1934,869,18
627,869,34
2001,869,30
1257,870,22
1886,870,72
1485,870,75
61,871,6
1492,871,16
1657,872,2
2670,873,17
1017,873,59
2970,874,23
1236,875,162
1409,875,9
1657,875,5
2108,875,162
2670,875,95
883,875,673
2671,875,496
1195,875,758
2001,875,228
1485,875,261
1886,875,537
2661,875,0
2323,876,3
2670,876,17
508,877,2366
162,878,364
254,879,157
508,879,72
1411,879,83
711,879,17
2881,880,14
363,880,805
467,880,57
1886,880,125
16,880,104
1992,880,14
2678,880,139
724,880,270
504,880,1
1370,880,21
162,880,11
1416,881,616
364,882,339
1657,882,6
883,882,15
508,883,2507
2147,884,9
165,884,1
1485,885,33
1562,886,2
1026,887,120
508,887,39
838,887,167
1492,887,54
822,887,20
162,887,132
1954,888,102
2669,888,176
2308,889,1650
1886,889,2867
1657,890,0
1562,891,3
628,892,11
1985,893,54
1886,893,179
165,893,1
508,894,114
939,894,41
330,894,62
845,895,41
1555,896,56
822,896,21
1341,897,37
16,897,18
1657,898,1
822,899,44
814,899,82
130,899,21
1621,899,185
959,899,121
1127,899,1369
1539,899,41
866,899,175
1712,899,756
2665,900,7
1886,900,10
467,900,25
1657,900,9
1993,900,11
818,901,14
49,901,18
628,901,27
1712,901,1842
1037,902,1
1657,903,1
2169,904,45
2120,904,31
1985,904,23
16,904,51
467,905,5106
1657,906,1
1449,907,14
305,908,41
981,908,24
127,909,89
1485,910,17
508,910,55
302,910,43
1985,910,5
276,910,1
845,911,3
191,912,10
1886,912,500
254,913,83
1411,913,28
164,913,24
272,913,12
1562,913,1
1657,913,1
1449,914,17
162,914,268
1562,915,175
1449,915,4
2479,915,1
165,915,1
2484,915,4
1713,915,25
820,915,5
246,915,24
1985,916,2
1657,916,236
1886,916,15
1886,917,128
2881,917,123
2484,918,5
1449,918,5
2884,918,96
2670,918,42
2881,918,84
939,918,125
964,918,39
456,918,35
168,919,7
964,920,7
156,921,128
1657,922,2
508,922,51
46,923,63
1713,924,19
429,924,368
845,924,164
1237,924,7
195,924,14
1017,924,37
711,924,18
30,924,31
823,924,21
162,924,157
1964,924,22
508,925,245
2484,926,1
711,927,60
1233,927,3
1276,927,16
1886,927,97
1590,927,412
1878,927,28
2148,927,195
198,927,12
883,927,31
981,928,1
2664,928,1
16,929,38
2497,929,35
1371,929,44
16,930,34
1388,930,453
1668,931,676
2663,932,3
508,933,14
628,934,48
612,934,84
625,934,36
1657,934,81
643,934,30
508,934,56
147,934,80
1311,935,186
1043,935,364
1985,936,1
2671,937,1
2323,937,6
1882,937,26
939,937,416
508,937,67
813,937,85
2230,937,6
1887,937,149
1236,937,54
363,937,116
1886,937,291
1480,937,1
1181,937,15
2308,937,250
2497,937,702
12,938,3
1657,938,32
1149,939,569
461,939,745
882,939,1
1311,940,352
2672,940,155
686,940,433
508,941,25
2663,941,18
164,942,1347
845,942,61
162,942,20
1411,942,42
1449,943,2
1657,944,83
1017,945,463
2885,946,163
1657,947,0
2116,948,1209
981,948,278
1657,949,27
981,950,1
1201,951,5
1886,952,766
78,953,10
1889,954,359
1360,954,115
1257,955,8
1411,955,9
1657,955,2
1017,956,1993
2734,956,168
1562,957,15
964,958,263
719,959,18
1223,959,11
33,959,25
168,959,3
195,959,5
1657,959,27
1385,959,12
556,959,98
882,959,21
1249,959,987
452,959,67
882,960,108
2106,960,11
2662,960,93
1050,960,799
2241,960,32
1149,961,164
2557,962,198
2554,962,173
2663,962,28
508,962,32
1886,962,14
2678,962,67
12,963,1
162,964,15
1444,965,2
2665,965,110
12,967,105
1985,968,28
939,968,136
12,969,2
164,970,6
821,971,20
457,972,4333
1886,972,1
1657,973,2
508,974,3077
61,975,12
162,975,12
1485,975,43
818,975,127
1954,975,22
1938,975,9
628,975,17
1985,975,4
1959,975,38
1713,975,5
649,975,140
406,975,18
981,975,33
456,975,123
1331,975,12
1158,976,17
838,976,35
538,976,5
199,976,28
1886,977,54
939,977,17
1071,977,9
838,977,29
1444,978,7
508,978,10
1886,979,380
1444,980,453
1657,980,2
162,980,67
1657,981,1
1560,981,432
1371,982,191
845,983,4
127,984,3950
1449,985,2
1657,986,2
1657,987,7
1657,988,89
1657,989,5
1657,990,241
1657,991,3
1485,992,33
818,992,60
1568,992,11
819,994,15
819,995,150
1657,996,175
1657,998,63
1657,999,1
1657,1000,5
1657,1001,5
2484,1002,35
1657,1003,6
1657,1005,1545
819,1006,87
1657,1007,667
1657,1008,4
1886,1009,1
1657,1010,4
1615,1012,15
1657,1013,61
1657,1014,395
1657,1015,155
1657,1016,20
1657,1017,27
1657,1018,203
1657,1019,29
1485,1021,57
2662,1021,31
1183,1022,81
1886,1022,1171
1657,1023,88
1886,1024,127
2147,1025,159
1257,1027,215
1251,1028,2
1562,1028,401
1411,1028,479
1657,1030,23
819,1030,5
1657,1031,4
1126,1032,33
1657,1032,214
164,1033,78
1657,1034,197
700,1035,1
12,1035,23
819,1035,1
576,1036,105
2881,1036,99
825,1036,489
1886,1036,96
1985,1036,47
578,1036,25
1371,1036,21
1257,1037,209
1657,1037,5
164,1037,12
1657,1038,170
1657,1039,2
1657,1040,431
693,1041,51
1411,1041,16
1657,1042,56
1149,1043,10
1411,1044,376
819,1045,3
11,1045,2
819,1046,3
1712,1048,115
2479,1049,40
1657,1050,175
165,1051,4
12,1051,6
1657,1052,4
883,1053,19
1485,1053,27
1257,1053,215
1713,1053,13
2239,1053,6
2001,1053,10
2307,1053,19
2885,1053,9
170,1053,12
243,1053,7
176,1054,1
868,1055,34
1657,1056,5
1657,1057,5
1657,1058,649
819,1059,14
1657,1059,9
1562,1060,22
1657,1061,19
715,1062,948
98,1063,63
981,1064,23
1657,1065,96
1657,1066,1
1657,1067,1
1485,1067,45
2124,1068,19
2256,1068,2
2958,1069,97
1657,1070,106
836,1071,33
661,1071,55
1668,1071,18
331,1071,938
1132,1071,17
12,1072,1
819,1072,3
1657,1072,333
1657,1073,15
1492,1076,401
845,1076,131
2885,1076,79
973,1076,65
2310,1076,41
2138,1076,12
226,1076,34
164,1076,495
1951,1076,20
2314,1076,38
1316,1077,1
2671,1078,12
1257,1078,34
12,1079,1
981,1079,279
1657,1079,2
44,1081,5
1657,1082,5
1311,1083,128
508,1084,4129
226,1084,80
1485,1084,286
818,1084,78
508,1086,2
1657,1087,1
1657,1088,12
1657,1089,810
1657,1090,390
1657,1091,115
819,1092,2
1657,1093,241
1657,1094,40
1657,1095,26
1657,1096,49
2670,1097,45
1042,1098,113
649,1099,340
30,1099,219
1257,1099,32
170,1099,435
226,1099,287
249,1099,19
1713,1099,126
1485,1099,129
964,1099,283
1149,1099,78
628,1099,149
1562,1100,1
2484,1100,2
981,1101,12
1657,1101,21
2164,1102,24
508,1102,124
813,1102,23
1037,1102,8
2163,1102,29
711,1102,31
46,1102,35
2136,1102,15
508,1103,776
44,1104,37
979,1105,237
1657,1106,3
1657,1107,193
508,1109,629
2662,1110,7
2958,1110,1
939,1110,1
1657,1110,4
1657,1111,231
1657,1112,358
164,1113,23
1657,1114,117
979,1115,1
1657,1116,151
1657,1117,31
1657,1118,12
1657,1119,66
1657,1120,64
686,1121,2
1657,1122,40
1657,1123,35
1657,1124,40
302,1125,254
1886,1126,74
825,1126,4
98,1126,1
939,1126,29
1657,1127,36
1657,1128,69
1657,1129,35
1657,1130,19
1657,1132,172
1657,1133,5
1657,1134,2
1657,1135,190
1657,1136,19
1657,1137,1
1657,1138,79
164,1139,43
226,1139,14
2089,1140,5
1657,1141,92
1449,1142,1
819,1143,40
1657,1144,292
1657,1145,234
1657,1146,99
1657,1147,2
1657,1148,207
305,1149,2
1657,1150,4
1657,1151,23
44,1153,83
1657,1154,2
1251,1156,13
1249,1156,392
1657,1157,4
1657,1159,16
1657,1160,22
164,1161,46
249,1161,81
981,1161,57
12,1161,4
2670,1161,79
2101,1161,277
1657,1161,768
1606,1161,40
1713,1161,131
164,1162,1
1985,1162,3
1485,1162,1
1657,1163,68
822,1164,41
1657,1165,61
12,1166,16
1657,1167,96
964,1168,2
456,1168,5
819,1168,8
1257,1168,43
305,1169,12
883,1169,76
1657,1170,93
508,1171,777
1657,1172,4
1657,1173,589
1657,1174,10
1657,1175,5
1657,1176,12
508,1177,26
2138,1177,520
825,1177,200
711,1177,72
1886,1178,146
547,1178,2
44,1179,4
44,1180,2
819,1182,523
1657,1183,640
25,1184,62
1407,1184,4
176,1184,4
1657,1186,104
44,1187,45
1657,1188,33
1657,1189,4
1657,1190,29
1657,1191,21
1657,1193,10
1568,1194,1083
1657,1196,9
1657,1197,4
305,1198,1
1657,1198,81
1657,1199,3
1657,1200,137
